cod_mpio,municipio,departamento,idx_minero,idx_deforestacion,idx_fuego,riesgo_nivel,mineria_titulos,rucom_registros,anm_proyectos,presion_extractiva,formalizacion,brecha_formalizacion,alerta_informalidad
85139,MANÍ,CASANARE,0.4103,0.0,0.5916,Crítico,7,7,11,0.657,0.551,0.106,False
70204,COLOSÓ,SUCRE,0.2719,0.0,0.4266,Medio,4,4,9,0.597,0.496,0.101,False
19130,CAJIBÍO,CAUCA,0.4422,0.0,0.5641,Alto,5,5,35,0.669,0.576,0.093,False
47980,ZONA BANANERA,MAGDALENA,0.4636,0.0,0.6095,Medio,6,6,40,0.684,0.597,0.087,False
19517,PÁEZ,CAUCA,0.3858,0.0,0.3579,Alto,5,5,18,0.626,0.541,0.085,False
86757,SAN MIGUEL,PUTUMAYO,0.3386,0.5238,0.0,Alto,3,3,34,0.613,0.531,0.082,False
13744,SIMITÍ,BOLÍVAR,0.4565,0.0,0.4382,Medio,1,1,196,0.664,0.592,0.072,False
20295,GAMARRA,CESAR,0.2869,0.0,0.4173,Medio,2,2,56,0.601,0.538,0.063,False
68020,ALBANIA,SANTANDER,0.4418,0.2658,0.0,Medio,5,5,43,0.645,0.587,0.058,False
73030,AMBALEMA,TOLIMA,0.507,0.0,0.1521,Bajo,5,5,48,0.652,0.596,0.056,False
95001,SAN JOSÉ DEL GUAVIARE,GUAVIARE,0.5171,0.9686,0.0,Crítico,6,6,79,0.698,0.647,0.051,False
68464,MOGOTES,SANTANDER,0.4562,0.0,0.3495,Medio,5,5,51,0.652,0.601,0.051,False
13683,SANTA ROSA,BOLÍVAR,0.4277,0.0,0.3522,Medio,8,8,22,0.639,0.59,0.049,False
18094,BELÉN DE LOS ANDAQUÍES,CAQUETÁ,0.4531,0.5224,0.0,Crítico,12,12,9,0.658,0.61,0.048,False
86571,PUERTO GUZMÁN,PUTUMAYO,0.4522,0.8696,0.0,Crítico,5,5,69,0.669,0.621,0.048,False
47053,ARACATACA,MAGDALENA,0.2999,0.0,0.3511,Bajo,2,2,70,0.595,0.552,0.043,False
19450,MERCADERES,CAUCA,0.3894,0.0,0.6629,Medio,7,7,44,0.659,0.617,0.042,False
20011,AGUACHICA,CESAR,0.4678,0.0,0.6658,Medio,10,10,38,0.692,0.654,0.038,False
68575,PUERTO WILCHES,SANTANDER,0.5312,0.0,0.6213,Alto,22,22,10,0.718,0.682,0.036,False
86001,MOCOA,PUTUMAYO,0.4977,0.5501,0.0,Crítico,5,5,89,0.678,0.644,0.034,False
52356,IPIALES,NARIÑO,0.4958,0.563,0.0,Alto,5,5,92,0.679,0.646,0.033,False
47030,ALGARROBO,MAGDALENA,0.4436,0.0,0.5244,Medio,8,8,45,0.667,0.634,0.033,False
20550,PELAYA,CESAR,0.4998,0.0,0.6013,Alto,18,18,12,0.697,0.664,0.033,False
50689,SAN MARTÍN,META,0.5316,0.0,0.8192,Crítico,19,19,25,0.731,0.699,0.032,False
68444,MATANZA,SANTANDER,0.3664,0.0,0.1101,Bajo,4,4,37,0.589,0.557,0.032,False
73055,ARMERO,TOLIMA,0.4863,0.0,0.6078,Alto,9,9,56,0.691,0.667,0.024,False
20443,MANAURE BALCÓN DEL CESAR,CESAR,0.3027,0.0,0.618,Alto,5,5,54,0.627,0.605,0.022,False
86569,PUERTO CAICEDO,PUTUMAYO,0.4601,0.6785,0.0,Crítico,7,7,67,0.669,0.647,0.022,False
73217,COYAIMA,TOLIMA,0.5947,0.0,0.4437,Medio,6,6,188,0.728,0.711,0.017,False
20621,LA PAZ,CESAR,0.5154,0.0,0.7053,Crítico,16,16,37,0.715,0.702,0.013,False
18256,EL PAUJÍL,CAQUETÁ,0.5292,0.4714,0.0,Crítico,8,8,81,0.69,0.677,0.013,False
