cod_mpio,municipio,departamento,lat,lon,mineria_titulos,mineria_minerales,mineria_volumen,mineria_regalias,es_pdet,deforestacion_ha,agua_ica_medio,agua_estaciones,runap_areas,runap_hectareas,idx_minero,idx_deforestacion,idx_hidrico,idx_sensibilidad,riesgo_score,riesgo_nivel,hidrico_sin_dato
08296,GALAPA,ATLÁNTICO,10.919033,-74.870385,1,1,740.0,0.0,0,0,,0,0,0,0.1703,0.0,0.0,0.0,0.0596,Bajo,1
08372,JUAN DE ACOSTA,ATLÁNTICO,10.83254,-75.041032,4,3,2891.0,0.0,0,0,,0,0,0,0.349,0.0,0.0,0.0,0.1221,Bajo,1
08421,LURUACO,ATLÁNTICO,10.610491,-75.14199,45,5,8165.2,0.0,0,0,,0,2,4023.2,0.6745,0.0,0.0,0.5306,0.2891,Alto,1
08433,MALAMBO,ATLÁNTICO,10.857086,-74.776923,0,0,310.0,0.0,0,0,,0,0,0,0.0456,0.0,0.0,0.0,0.016,Bajo,1
08436,MANATÍ,ATLÁNTICO,10.449089,-74.956867,10,4,701.0,0.0,0,0,,0,0,0,0.4156,0.0,0.0,0.0,0.1455,Bajo,1
08520,PALMAR DE VARELA,ATLÁNTICO,10.738591,-74.754765,8,2,3512.5,0.0,0,0,,0,0,0,0.4269,0.0,0.0,0.0,0.1494,Bajo,1
08549,PIOJÓ,ATLÁNTICO,10.749216,-75.107592,0,0,0,0,0,0,,0,3,832.5,0.0,0.0,0.0,0.43,0.043,Bajo,1
08558,POLONUEVO,ATLÁNTICO,10.777363,-74.852981,2,2,0,0,0,0,,0,0,0,0.1856,0.0,0.0,0.0,0.065,Bajo,1
08560,PONEDERA,ATLÁNTICO,10.641779,-74.753885,0,0,0,0,0,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,Bajo,1
08573,PUERTO COLOMBIA,ATLÁNTICO,11.015322,-74.888627,27,8,11879.5,0.0,0,0,,0,0,0,0.6227,0.0,0.0,0.0,0.2179,Medio,1
08606,REPELÓN,ATLÁNTICO,10.493357,-75.125534,38,6,3539.0,0.0,0,0,,0,1,1528.9,0.6336,0.0,0.0,0.4688,0.2686,Alto,1
08634,SABANAGRANDE,ATLÁNTICO,10.792453,-74.759496,9,4,8.0,0.0,0,0,,0,0,0,0.3892,0.0,0.0,0.0,0.1362,Bajo,1
08638,SABANALARGA,ATLÁNTICO,10.632091,-74.921256,19,4,2790.5,0.0,0,0,,0,0,0,0.5282,0.0,0.0,0.0,0.1849,Bajo,1
08675,SANTA LUCÍA,ATLÁNTICO,10.324303,-74.959204,0,0,0,0,0,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,Bajo,1
08685,SANTO TOMÁS,ATLÁNTICO,10.758735,-74.757859,8,4,1008.0,0.0,0,0,,0,0,0,0.3892,0.0,0.0,0.0,0.1362,Bajo,1
08758,SOLEDAD,ATLÁNTICO,10.909921,-74.786054,0,0,0,0,0,0,,0,1,56565.1,0.0,0.0,0.0,0.6996,0.07,Bajo,1
08770,SUAN,ATLÁNTICO,10.335432,-74.881687,0,0,0,0,0,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,Bajo,1
08832,TUBARÁ,ATLÁNTICO,10.873586,-74.978704,8,6,1698.5,0.0,0,0,,0,0,0,0.4004,0.0,0.0,0.0,0.1401,Bajo,1
08849,USIACURÍ,ATLÁNTICO,10.74298,-74.976985,0,0,0,0,0,0,,0,1,836.9,0.0,0.0,0.0,0.4303,0.043,Bajo,1
11001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",4.649251,-74.106992,47,7,21374.0,285.0,0,0,0.807,3,3,13158.0,0.7163,0.0,0.193,0.6063,0.3596,Crítico,0
13001,CARTAGENA DE INDIAS,BOLÍVAR,10.385126,-75.496269,40,9,3531.0,0.0,0,0,,0,0,0,0.6414,0.0,0.0,0.0,0.2245,Medio,1
13006,ACHÍ,BOLÍVAR,8.570107,-74.557676,0,0,1535.9,0.0,0,0,,0,0,0,0.1572,0.0,0.0,0.0,0.055,Bajo,1
13030,ALTOS DEL ROSARIO,BOLÍVAR,8.791865,-74.164905,18,5,4173.9,1495.0,0,0,,0,0,0,0.531,0.0,0.0,0.0,0.1858,Bajo,1
13042,ARENAL,BOLÍVAR,8.458865,-73.941099,25,2,20736.6,2501.0,1,0,,0,0,0,0.6495,0.0,0.0,0.25,0.2523,Medio,1
