cod_mpio,municipio,nivel_predicho,conjunto_conformal,tamano_conjunto,certeza_calibrada
25324,GUATAQUÍ,Bajo,Bajo,1,Alta
25326,GUATAVITA,Medio,Medio,1,Alta
25328,GUAYABAL DE SÍQUIMA,Bajo,Bajo,1,Alta
25335,GUAYABETAL,Bajo,Bajo,1,Alta
25339,GUTIÉRREZ,Bajo,Bajo,1,Alta
25368,JERUSALÉN,Medio,Medio,1,Alta
25372,JUNÍN,Medio,Medio,1,Alta
25377,LA CALERA,Bajo,Bajo,1,Alta
25386,LA MESA,Bajo,Bajo,1,Alta
25394,LA PALMA,Bajo,Bajo,1,Alta
25398,LA PEÑA,Bajo,Bajo,1,Alta
25402,LA VEGA,Bajo,Bajo,1,Alta
25407,LENGUAZAQUE,Alto,Alto,1,Alta
25426,MACHETÁ,Medio,Medio,1,Alta
25430,MADRID,Medio,Medio,1,Alta
25436,MANTA,Bajo,Bajo,1,Alta
25438,MEDINA,Medio,Medio,1,Alta
25473,MOSQUERA,Bajo,Bajo,1,Alta
25483,NARIÑO,Bajo,Bajo,1,Alta
25486,NEMOCÓN,Medio,Medio,1,Alta
25488,NILO,Medio,Medio,1,Alta
25489,NIMAIMA,Bajo,Bajo,1,Alta
25491,NOCAIMA,Bajo,Bajo,1,Alta
25506,VENECIA,Bajo,Bajo,1,Alta
25513,PACHO,Medio,Medio,1,Alta
25518,PAIME,Bajo,Bajo,1,Alta
25524,PANDI,Bajo,Bajo,1,Alta
25530,PARATEBUENO,Medio,Medio,1,Alta
25535,PASCA,Bajo,Bajo,1,Alta
25572,PUERTO SALGAR,Bajo,Bajo,1,Alta
25580,PULÍ,Bajo,Bajo,1,Alta
25592,QUEBRADANEGRA,Bajo,Bajo,1,Alta
25594,QUETAME,Bajo,Bajo,1,Alta
25596,QUIPILE,Bajo,Bajo,1,Alta
25599,APULO,Bajo,Bajo,1,Alta
25612,RICAURTE,Bajo,Bajo,1,Alta
25645,SAN ANTONIO DEL TEQUENDAMA,Bajo,Bajo,1,Alta
25649,SAN BERNARDO,Bajo,Bajo,1,Alta
25653,SAN CAYETANO,Bajo,Bajo,1,Alta
25658,SAN FRANCISCO,Bajo,Bajo,1,Alta
25662,SAN JUAN DE RIOSECO,Bajo,Bajo,1,Alta
25718,SASAIMA,Bajo,Bajo,1,Alta
25736,SESQUILÉ,Bajo,Bajo,1,Alta
25740,SIBATÉ,Medio,Medio,1,Alta
25743,SILVANIA,Bajo,Bajo,1,Alta
25745,SIMIJACA,Bajo,Bajo,1,Alta
25754,SOACHA,Alto,Alto,1,Alta
25758,SOPÓ,Bajo,Bajo,1,Alta
25769,SUBACHOQUE,Bajo,Bajo,1,Alta
25772,SUESCA,Bajo,Bajo,1,Alta
25777,SUPATÁ,Bajo,Bajo,1,Alta
25779,SUSA,Bajo,Bajo,1,Alta
25781,SUTATAUSA,Medio,Medio,1,Alta
25785,TABIO,Bajo,Bajo,1,Alta
25793,TAUSA,Alto,Alto,1,Alta
25797,TENA,Bajo,Bajo,1,Alta
25799,TENJO,Bajo,Bajo,1,Alta
25805,TIBACUY,Bajo,Bajo,1,Alta
25807,TIBIRITA,Bajo,Bajo,1,Alta
25815,TOCAIMA,Bajo,Bajo,1,Alta
25817,TOCANCIPÁ,Medio,Medio,1,Alta
25823,TOPAIPÍ,Bajo,Bajo,1,Alta
25839,UBALÁ,Alto,Alto,1,Alta
25841,UBAQUE,Bajo,Bajo,1,Alta
25843,VILLA DE SAN DIEGO DE UBATÉ,Bajo,Bajo,1,Alta
25845,UNE,Bajo,Bajo,1,Alta
25851,ÚTICA,Medio,Medio,1,Alta
25862,VERGARA,Bajo,Bajo,1,Alta
25867,VIANÍ,Bajo,Bajo,1,Alta
25871,VILLAGÓMEZ,Bajo,Bajo,1,Alta
25873,VILLAPINZÓN,Alto,Alto,1,Alta
25875,VILLETA,Bajo,Bajo,1,Alta
25878,VIOTÁ,Bajo,Bajo,1,Alta
25885,YACOPÍ,Bajo,Bajo,1,Alta
25898,ZIPACÓN,Bajo,Bajo,1,Alta
25899,ZIPAQUIRÁ,Medio,Medio,1,Alta
27001,QUIBDÓ,Medio,Medio / Alto,2,Media
27006,ACANDÍ,Medio,Medio,1,Alta
27025,ALTO BAUDÓ,Bajo,Bajo,1,Alta
27050,ATRATO,Medio,Medio,1,Alta
27073,BAGADÓ,Bajo,Bajo,1,Alta
27075,BAHÍA SOLANO,Bajo,Bajo,1,Alta
27077,BAJO BAUDÓ,Bajo,Bajo,1,Alta
27099,BOJAYÁ,Bajo,Bajo,1,Alta
27135,EL CANTÓN DEL SAN PABLO,Bajo,Bajo,1,Alta
27150,CARMEN DEL DARIÉN,Bajo,Bajo,1,Alta
27160,CÉRTEGUI,Medio,Medio,1,Alta
27205,CONDOTO,Medio,Medio,1,Alta
27245,EL CARMEN DE ATRATO,Bajo,Bajo,1,Alta
27250,EL LITORAL DEL SAN JUAN,Bajo,Bajo,1,Alta
27361,ISTMINA,Medio,Medio,1,Alta
27372,JURADÓ,Bajo,Bajo,1,Alta
27413,LLORÓ,Medio,Medio,1,Alta
27425,MEDIO ATRATO,Medio,Medio,1,Alta
27430,MEDIO BAUDÓ,Bajo,Bajo,1,Alta
27450,MEDIO SAN JUAN,Medio,Medio,1,Alta
27491,NÓVITA,Medio,Medio,1,Alta
27493,NUEVO BELÉN DE BAJIRÁ,Bajo,Bajo,1,Alta
27495,NUQUÍ,Bajo,Bajo,1,Alta
27580,RÍO IRÓ,Medio,Medio,1,Alta
27600,RÍO QUITO,Medio,Medio,1,Alta
27615,RIOSUCIO,Bajo,Bajo,1,Alta
27660,SAN JOSÉ DEL PALMAR,Bajo,Bajo,1,Alta
27745,SIPÍ,Medio,Medio,1,Alta
27787,TADÓ,Medio,Medio,1,Alta
27800,UNGUÍA,Medio,Medio,1,Alta
27810,UNIÓN PANAMERICANA,Medio,Medio,1,Alta
41001,NEIVA,Alto,Alto,1,Alta
41006,ACEVEDO,Bajo,Bajo,1,Alta
41013,AGRADO,Bajo,Bajo,1,Alta
41016,AIPE,Alto,Alto,1,Alta
41020,ALGECIRAS,Bajo,Bajo,1,Alta
41026,ALTAMIRA,Bajo,Bajo,1,Alta
41078,BARAYA,Bajo,Bajo,1,Alta
41132,CAMPOALEGRE,Medio,Medio,1,Alta
41206,COLOMBIA,Bajo,Bajo,1,Alta
41244,ELÍAS,Bajo,Bajo,1,Alta
41298,GARZÓN,Medio,Medio,1,Alta
41306,GIGANTE,Bajo,Bajo,1,Alta
41319,GUADALUPE,Bajo,Bajo,1,Alta
41349,HOBO,Bajo,Bajo,1,Alta
41357,ÍQUIRA,Medio,Medio,1,Alta
41359,ISNOS,Bajo,Bajo,1,Alta
41378,LA ARGENTINA,Bajo,Bajo,1,Alta
41396,LA PLATA,Bajo,Bajo,1,Alta
41483,NÁTAGA,Bajo,Bajo,1,Alta
41503,OPORAPA,Bajo,Bajo,1,Alta
41518,PAICOL,Medio,Medio,1,Alta
41524,PALERMO,Alto,Alto,1,Alta
41530,PALESTINA,Bajo,Bajo,1,Alta
41548,PITAL,Bajo,Bajo,1,Alta
41551,PITALITO,Alto,Alto,1,Alta
41615,RIVERA,Medio,Medio,1,Alta
41660,SALADOBLANCO,Bajo,Bajo,1,Alta
41668,SAN AGUSTÍN,Medio,Medio,1,Alta
41676,SANTA MARÍA,Medio,Medio,1,Alta
41770,SUAZA,Bajo,Bajo,1,Alta
41791,TARQUI,Bajo,Bajo,1,Alta
41797,TESALIA,Medio,Medio,1,Alta
41799,TELLO,Bajo,Bajo,1,Alta
41801,TERUEL,Medio,Medio,1,Alta
41807,TIMANÁ,Bajo,Bajo,1,Alta
41872,VILLAVIEJA,Medio,Medio,1,Alta
41885,YAGUARÁ,Medio,Medio,1,Alta
44001,RIOHACHA,Crítico,Crítico,1,Alta
44035,ALBANIA,Alto,Alto,1,Alta
44078,BARRANCAS,Alto,Alto,1,Alta
44090,DIBULLA,Alto,Alto,1,Alta
44098,DISTRACCIÓN,Bajo,Bajo,1,Alta
44110,EL MOLINO,Bajo,Bajo,1,Alta
44279,FONSECA,Bajo,Bajo,1,Alta
44378,HATONUEVO,Alto,Alto,1,Alta
44420,LA JAGUA DEL PILAR,Bajo,Bajo,1,Alta
44430,MAICAO,Bajo,Bajo,1,Alta
44560,MANAURE,Bajo,Bajo,1,Alta
44650,SAN JUAN DEL CESAR,Medio,Medio,1,Alta
44847,URIBIA,Bajo,Bajo,1,Alta
44855,URUMITA,Medio,Medio,1,Alta
44874,VILLANUEVA,Bajo,Bajo,1,Alta
47001,SANTA MARTA,Alto,Alto,1,Alta
47030,ALGARROBO,Medio,Medio,1,Alta
47053,ARACATACA,Bajo,Bajo,1,Alta
47058,ARIGUANÍ,Bajo,Bajo,1,Alta
47161,CERRO DE SAN ANTONIO,Bajo,Bajo,1,Alta
47170,CHIVOLO,Bajo,Bajo,1,Alta
47189,CIÉNAGA,Medio,Medio,1,Alta
47205,CONCORDIA,Bajo,Bajo,1,Alta
47245,EL BANCO,Medio,Medio,1,Alta
47258,EL PIÑÓN,Bajo,Bajo,1,Alta
47268,EL RETÉN,Bajo,Bajo,1,Alta
47288,FUNDACIÓN,Medio,Medio,1,Alta
47318,GUAMAL,Bajo,Bajo,1,Alta
47460,NUEVA GRANADA,Bajo,Bajo,1,Alta
47541,PEDRAZA,Bajo,Bajo,1,Alta
47545,PIJIÑO DEL CARMEN,Bajo,Bajo,1,Alta
47551,PIVIJAY,Bajo,Bajo,1,Alta
47555,PLATO,Medio,Medio,1,Alta
47570,PUEBLOVIEJO,Bajo,Bajo,1,Alta
47605,REMOLINO,Bajo,Bajo,1,Alta
47660,SABANAS DE SAN ÁNGEL,Bajo,Bajo,1,Alta
47675,SALAMINA,Bajo,Bajo,1,Alta
47692,SAN SEBASTIÁN DE BUENAVISTA,Bajo,Bajo,1,Alta
47703,SAN ZENÓN,Bajo,Bajo,1,Alta
47707,SANTA ANA,Bajo,Bajo,1,Alta
47720,SANTA BÁRBARA DE PINTO,Bajo,Bajo,1,Alta
47745,SITIONUEVO,Bajo,Bajo,1,Alta
47798,TENERIFE,Bajo,Bajo,1,Alta
47960,ZAPAYÁN,Bajo,Bajo,1,Alta
47980,ZONA BANANERA,Medio,Medio,1,Alta
50001,VILLAVICENCIO,Alto,Alto,1,Alta
50006,ACACÍAS,Crítico,Crítico,1,Alta
50110,BARRANCA DE UPÍA,Bajo,Bajo,1,Alta
50124,CABUYARO,Medio,Medio,1,Alta
50150,CASTILLA LA NUEVA,Bajo,Bajo,1,Alta
50223,CUBARRAL,Bajo,Bajo,1,Alta
50226,CUMARAL,Medio,Medio,1,Alta
50245,EL CALVARIO,Bajo,Bajo,1,Alta
50251,EL CASTILLO,Bajo,Bajo,1,Alta
50270,EL DORADO,Bajo,Bajo,1,Alta
50287,FUENTE DE ORO,Bajo,Bajo,1,Alta
50313,GRANADA,Medio,Medio,1,Alta
50318,GUAMAL,Bajo,Bajo,1,Alta
50325,MAPIRIPÁN,Crítico,Crítico,1,Alta
50330,MESETAS,Alto,Alto,1,Alta
50350,LA MACARENA,Crítico,Crítico,1,Alta
50370,URIBE,Crítico,Crítico,1,Alta
50400,LEJANÍAS,Bajo,Bajo,1,Alta
50450,PUERTO CONCORDIA,Crítico,Crítico,1,Alta
50568,PUERTO GAITÁN,Crítico,Crítico,1,Alta
50573,PUERTO LÓPEZ,Alto,Alto,1,Alta
50577,PUERTO LLERAS,Bajo,Bajo,1,Alta
50590,PUERTO RICO,Crítico,Crítico,1,Alta
50606,RESTREPO,Medio,Medio,1,Alta
50680,SAN CARLOS DE GUAROA,Medio,Medio,1,Alta
50683,SAN JUAN DE ARAMA,Alto,Alto,1,Alta
50686,SAN JUANITO,Bajo,Bajo,1,Alta
50689,SAN MARTÍN,Crítico,Crítico,1,Alta
50711,VISTAHERMOSA,Crítico,Crítico,1,Alta
52001,PASTO,Crítico,Crítico,1,Alta
52019,ALBÁN,Bajo,Bajo,1,Alta
52022,ALDANA,Bajo,Bajo,1,Alta
52036,ANCUYA,Bajo,Bajo,1,Alta
52051,ARBOLEDA,Bajo,Bajo,1,Alta
52079,BARBACOAS,Medio,Medio,1,Alta
52083,BELÉN,Bajo,Bajo,1,Alta
52110,BUESACO,Bajo,Bajo,1,Alta
52203,COLÓN,Bajo,Bajo,1,Alta
52207,CONSACÁ,Bajo,Bajo,1,Alta
52210,CONTADERO,Bajo,Bajo,1,Alta
52215,CÓRDOBA,Bajo,Bajo,1,Alta
52224,CUASPUD CARLOSAMA,Bajo,Bajo,1,Alta
52227,CUMBAL,Bajo,Bajo,1,Alta
52233,CUMBITARA,Medio,Medio,1,Alta
52240,CHACHAGÜÍ,Bajo,Bajo,1,Alta
52250,EL CHARCO,Medio,Medio,1,Alta
52254,EL PEÑOL,Bajo,Bajo,1,Alta
52256,EL ROSARIO,Bajo,Bajo,1,Alta
52258,EL TABLÓN DE GÓMEZ,Bajo,Bajo,1,Alta
