cod_mpio,municipio,departamento,lat,lon,mineria_titulos,mineria_minerales,mineria_volumen,mineria_regalias,es_pdet,deforestacion_ha,agua_ica_medio,agua_estaciones,runap_areas,runap_hectareas
13160,CANTAGALLO,BOLÍVAR,7.378678,-73.914605,0,0,0.0,0.0,1,0,,0,0,0
13188,CICUCO,BOLÍVAR,9.274281,-74.645981,0,0,0,0,0,0,,0,0,0
13212,CÓRDOBA,BOLÍVAR,9.586942,-74.827399,0,0,59.8,0.0,1,0,,0,1,63984.6
13222,CLEMENCIA,BOLÍVAR,10.567452,-75.328469,2,1,0.0,0.0,0,0,,0,1,43.4
13244,EL CARMEN DE BOLÍVAR,BOLÍVAR,9.718653,-75.121178,0,0,193.1,879.0,1,0,,0,2,203.4
13248,EL GUAMO,BOLÍVAR,10.030958,-74.976084,0,0,0.0,0.0,1,0,,0,1,63.0
13268,EL PEÑÓN,BOLÍVAR,8.988271,-73.949274,0,0,0,0,0,0,,0,0,0
13300,HATILLO DE LOBA,BOLÍVAR,8.956014,-74.077912,5,3,13685.7,620.0,0,0,,0,1,374.5
13430,MAGANGUÉ,BOLÍVAR,9.263799,-74.766742,0,0,3364.0,2875.0,0,0,0.61,1,0,0
13433,MAHATES,BOLÍVAR,10.233285,-75.191643,13,3,10037.2,0.0,0,0,,0,0,0
13440,MARGARITA,BOLÍVAR,9.15784,-74.285137,0,0,5385.7,899.0,0,0,,0,0,0
13442,MARÍA LA BAJA,BOLÍVAR,9.982402,-75.300516,12,5,5205.0,0.0,1,0,,0,1,3898.7
13458,MONTECRISTO,BOLÍVAR,8.297234,-74.471176,54,6,11241.6,2725.0,0,0,,0,0,0
13468,SANTA CRUZ DE MOMPOX,BOLÍVAR,9.244241,-74.42818,0,0,0,0,0,0,,0,0,0
13473,MORALES,BOLÍVAR,8.276558,-73.868172,20,2,13108.5,7590.0,1,0,0.702,5,0,0
13490,NOROSÍ,BOLÍVAR,8.526259,-74.038003,71,13,13410.5,28.0,0,0,,0,0,0
13549,PINILLOS,BOLÍVAR,8.914947,-74.462279,0,0,0,0,0,0,,0,0,0
13580,REGIDOR,BOLÍVAR,8.666258,-73.821638,0,0,526.8,0.0,0,0,,0,0,0
13600,RÍO VIEJO,BOLÍVAR,8.58795,-73.840466,31,9,11936.9,2320.0,0,0,,0,0,0
13620,SAN CRISTÓBAL,BOLÍVAR,10.392836,-75.065076,0,0,0,0,0,0,,0,0,0
13647,SAN ESTANISLAO,BOLÍVAR,10.398602,-75.153101,4,2,240.0,0.0,0,0,,0,0,0
13650,SAN FERNANDO,BOLÍVAR,9.214183,-74.323811,0,0,0,0,0,0,,0,0,0
13654,SAN JACINTO,BOLÍVAR,9.830275,-75.12105,0,0,0,0,1,0,,0,10,242.3
13655,SAN JACINTO DEL CAUCA,BOLÍVAR,8.25158,-74.721156,0,0,3986.1,0.0,0,0,,0,0,0
13657,SAN JUAN NEPOMUCENO,BOLÍVAR,9.953751,-75.081761,9,4,1788.1,280.0,1,0,,0,29,1983.4
13667,SAN MARTÍN DE LOBA,BOLÍVAR,8.937485,-74.039134,122,10,15873.9,0.0,0,0,,0,0,0
13670,SAN PABLO,BOLÍVAR,7.476747,-73.924602,0,0,1782.5,0.0,1,0,,0,0,0
13673,SANTA CATALINA,BOLÍVAR,10.605294,-75.287855,10,3,4954.1,0.0,0,0,,0,1,416.1
13683,SANTA ROSA,BOLÍVAR,10.444396,-75.369824,8,7,3571.7,1192.0,0,0,,0,0,0
13688,SANTA ROSA DEL SUR,BOLÍVAR,7.963938,-74.052243,20,8,19109.4,8424.0,1,0,,0,0,0
13744,SIMITÍ,BOLÍVAR,7.953916,-73.947264,1,1,12905.4,3957.0,1,0,,0,0,0
13760,SOPLAVIENTO,BOLÍVAR,10.38839,-75.136404,0,0,69.0,210.0,0,0,,0,0,0
13780,TALAIGUA NUEVO,BOLÍVAR,9.30403,-74.567479,0,0,0.0,0.0,0,0,,0,0,0
13810,TIQUISIO,BOLÍVAR,8.558666,-74.262922,23,6,12042.5,638.0,0,0,,0,0,0
13836,TURBACO,BOLÍVAR,10.348316,-75.427249,73,11,10506.1,0.0,0,0,,0,1,166.4
13838,TURBANÁ,BOLÍVAR,10.274585,-75.44265,19,6,1821.4,0.0,0,0,,0,0,0
13873,VILLANUEVA,BOLÍVAR,10.444089,-75.275613,0,0,0,0,0,0,,0,0,0
13894,ZAMBRANO,BOLÍVAR,9.746306,-74.817879,0,0,0.0,0.0,1,0,,0,0,0
15001,TUNJA,BOYACÁ,5.53988,-73.355539,68,10,35924.4,782.0,0,0,,0,0,0
15022,ALMEIDA,BOYACÁ,4.970857,-73.378933,6,2,304.2,796.0,0,0,,0,0,0
15047,AQUITANIA,BOYACÁ,5.518602,-72.88399,2,1,1020.0,0.0,0,0,0.867,5,0,0
15051,ARCABUCO,BOYACÁ,5.755673,-73.437503,34,8,6618.0,0.0,0,0,,0,16,5150.7
15087,BELÉN,BOYACÁ,5.98923,-72.911641,1,1,5789.8,0.0,0,0,,0,1,28898.7
15090,BERBEO,BOYACÁ,5.227451,-73.12721,2,2,7411.0,0.0,0,0,,0,0,0
15092,BETÉITIVA,BOYACÁ,5.909978,-72.809014,16,6,8938.5,674.0,0,0,,0,0,0
15097,BOAVITA,BOYACÁ,6.330703,-72.584905,1,1,11891.3,0.0,0,0,,0,0,0
15104,BOYACÁ,BOYACÁ,5.454578,-73.361945,15,4,8258.3,0.0,0,0,,0,0,0
15106,BRICEÑO,BOYACÁ,5.690879,-73.92326,5,3,958.9,0.0,0,0,,0,0,0
15109,BUENAVISTA,BOYACÁ,5.512594,-73.94217,0,0,0,0,0,0,,0,0,0
15114,BUSBANZÁ,BOYACÁ,5.831393,-72.884158,8,3,438.1,0.0,0,0,,0,0,0
15131,CALDAS,BOYACÁ,5.55458,-73.865553,1,1,0.0,0.0,0,0,,0,0,0
15135,CAMPOHERMOSO,BOYACÁ,5.031676,-73.104173,0,0,0,0,0,0,,0,1,6585.1
15162,CERINZA,BOYACÁ,5.955939,-72.947918,0,0,0,0,0,0,,0,0,0
15172,CHINAVITA,BOYACÁ,5.167486,-73.368476,8,2,0,0,0,0,,0,1,25099.2
15176,CHIQUINQUIRÁ,BOYACÁ,5.61379,-73.818745,0,0,1122.0,0.0,0,0,,0,0,0
15180,CHISCAS,BOYACÁ,6.553136,-72.500957,0,0,5821.9,0.0,0,0,,0,0,0
15183,CHITA,BOYACÁ,6.187083,-72.471892,7,4,7478.6,0.0,0,0,,0,0,0
15185,CHITARAQUE,BOYACÁ,6.027425,-73.4471,2,2,2450.8,0.0,0,0,,0,0,0
15187,CHIVATÁ,BOYACÁ,5.558949,-73.282529,31,4,30630.8,0.0,0,0,,0,0,0
15189,CIÉNEGA,BOYACÁ,5.408694,-73.296049,3,1,0.0,0.0,0,0,,0,0,0
15204,CÓMBITA,BOYACÁ,5.634545,-73.323957,19,3,14974.1,0.0,0,0,,0,1,5.0
15212,COPER,BOYACÁ,5.475074,-74.045636,0,0,0,0,0,0,,0,0,0
15215,CORRALES,BOYACÁ,5.828064,-72.844795,84,7,11859.5,945.0,0,0,,0,0,0
15218,COVARACHÍA,BOYACÁ,6.500177,-72.738978,0,0,130.0,2637.0,0,0,,0,0,0
15223,CUBARÁ,BOYACÁ,6.997275,-72.107939,2,1,6296.0,0.0,0,0,,0,0,0
15224,CUCAITA,BOYACÁ,5.544452,-73.454338,10,4,13685.2,0.0,0,0,,0,1,158.3
15226,CUÍTIVA,BOYACÁ,5.580367,-72.965923,5,3,3115.0,0.0,0,0,,0,0,0
15232,CHÍQUIZA,BOYACÁ,5.639834,-73.449463,23,5,225.2,0.0,0,0,,0,3,6897.3
15236,CHIVOR,BOYACÁ,4.888173,-73.368398,27,5,4436.2,0.0,0,0,,0,1,127.1
15238,DUITAMA,BOYACÁ,5.822964,-73.03063,15,3,3036.3,0.0,0,0,,0,1,54.5
15244,EL COCUY,BOYACÁ,6.407738,-72.444537,0,0,0,0,0,0,,0,0,0
15248,EL ESPINO,BOYACÁ,6.483027,-72.497007,0,0,1667.6,0.0,0,0,,0,0,0
15272,FIRAVITOBA,BOYACÁ,5.668885,-72.993392,34,4,6376.2,877.0,0,0,,0,1,1.6
15276,FLORESTA,BOYACÁ,5.859519,-72.918111,0,0,661.7,0.0,0,0,,0,0,0
15293,GACHANTIVÁ,BOYACÁ,5.751891,-73.549092,27,6,1259.0,1055.0,0,0,,0,17,1637.4
15296,GÁMEZA,BOYACÁ,5.802333,-72.80553,54,7,9641.5,0.0,0,0,,0,0,0
15299,GARAGOA,BOYACÁ,5.083234,-73.364413,9,3,12144.4,0.0,0,0,,0,0,0
15317,GUACAMAYAS,BOYACÁ,6.459667,-72.500812,15,2,1270.0,0.0,0,0,,0,0,0
15322,GUATEQUE,BOYACÁ,5.007321,-73.471207,4,2,649.6,793.0,0,0,0.67,1,0,0
15325,GUAYATÁ,BOYACÁ,4.967122,-73.489698,13,4,16595.8,0.0,0,0,,0,1,8992.5
